iter	Passed	Remaining
0	17	17499
1	31	15939
2	39	13136
3	46	11648
4	54	10809
5	61	10224
6	71	10146
7	78	9714
8	85	9407
9	92	9190
10	100	9021
11	107	8847
12	114	8675
13	122	8649
14	131	8604
15	138	8516
16	145	8403
17	152	8299
18	158	8207
19	166	8146
20	182	8507
21	189	8428
22	196	8360
23	204	8316
24	211	8258
25	222	8331
26	229	8282
27	238	8265
28	245	8206
29	252	8173
30	260	8144
31	267	8092
32	274	8040
33	282	8013
34	289	7985
35	296	7947
36	303	7901
37	310	7860
38	317	7813
39	324	7782
40	331	7755
41	338	7731
42	346	7714
43	353	7676
44	360	7642
45	367	7623
46	374	7592
47	381	7572
48	389	7557
49	396	7542
50	403	7517
51	411	7507
52	419	7488
53	426	7470
54	434	7470
55	442	7454
56	449	7430
57	456	7407
58	463	7387
59	470	7377
60	478	7367
61	486	7356
62	492	7330
63	500	7326
64	508	7311
65	515	7297
66	523	7289
67	530	7272
68	538	7260
69	545	7251
70	553	7236
71	560	7225
72	568	7217
73	575	7205
74	583	7191
75	590	7182
76	598	7171
77	605	7156
78	613	7150
79	620	7130
80	627	7122
81	634	7103
82	641	7087
83	648	7070
84	655	7056
85	662	7038
86	669	7025
87	677	7021
88	684	7006
89	691	6988
90	698	6978
91	705	6967
92	712	6950
93	719	6933
94	726	6916
95	733	6907
96	739	6888
97	746	6871
98	754	6862
99	760	6847
100	767	6835
101	775	6824
102	782	6810
103	788	6793
104	795	6779
105	802	6764
106	809	6754
107	816	6746
108	824	6742
109	831	6725
110	838	6716
111	845	6706
112	853	6697
113	860	6687
114	866	6671
115	874	6662
116	880	6646
117	887	6633
118	895	6626
119	901	6611
120	908	6598
121	915	6585
122	925	6601
123	934	6599
124	940	6584
125	947	6570
126	954	6560
127	961	6549
128	968	6537
129	975	6528
130	982	6514
131	988	6501
132	996	6493
133	1003	6485
134	1010	6474
135	1017	6461
136	1023	6449
137	1030	6436
138	1037	6426
139	1044	6418
140	1051	6405
141	1058	6395
142	1065	6383
143	1071	6369
144	1077	6356
145	1084	6343
146	1091	6332
147	1098	6321
148	1105	6311
149	1112	6304
150	1119	6293
151	1126	6282
152	1133	6274
153	1140	6264
154	1147	6254
155	1154	6244
156	1160	6232
157	1167	6223
158	1176	6222
159	1183	6214
160	1190	6204
161	1197	6195
162	1204	6186
163	1212	6178
164	1219	6172
165	1226	6162
166	1233	6154
167	1241	6146
168	1248	6140
169	1256	6132
170	1262	6120
171	1269	6109
172	1276	6101
173	1282	6088
174	1289	6079
175	1296	6070
176	1303	6059
177	1312	6059
178	1327	6090
179	1348	6143
180	1365	6179
181	1373	6172
182	1380	6165
183	1388	6156
184	1394	6144
185	1401	6134
186	1408	6122
187	1415	6112
188	1421	6100
189	1428	6091
190	1435	6079
191	1443	6072
192	1451	6067
193	1458	6060
194	1465	6051
195	1472	6042
196	1480	6035
197	1488	6027
198	1495	6018
199	1502	6011
200	1510	6005
201	1518	5997
202	1525	5988
203	1532	5978
204	1539	5971
205	1546	5962
206	1554	5954
207	1561	5943
208	1568	5934
209	1574	5923
210	1581	5914
211	1588	5905
212	1596	5897
213	1603	5889
214	1610	5881
215	1618	5873
216	1624	5861
217	1632	5855
218	1639	5847
219	1646	5837
220	1653	5827
221	1659	5816
222	1667	5809
223	1673	5798
224	1680	5787
225	1686	5777
226	1693	5767
227	1701	5759
228	1707	5748
229	1715	5742
230	1722	5734
231	1729	5725
232	1736	5716
233	1743	5707
234	1750	5697
235	1757	5688
236	1764	5680
237	1771	5672
238	1780	5668
239	1794	5684
240	1805	5684
241	1817	5692
242	1834	5716
243	1853	5742
244	1872	5769
245	1882	5768
246	1888	5757
247	1894	5746
248	1902	5738
249	1913	5740
250	1919	5728
251	1926	5719
252	1934	5712
253	1941	5702
254	1949	5694
255	1956	5684
256	1963	5676
257	1971	5669
258	1979	5662
259	1986	5652
260	1993	5645
261	2000	5634
262	2007	5625
263	2014	5614
264	2021	5606
265	2029	5598
266	2035	5589
267	2043	5582
268	2050	5571
269	2056	5561
270	2063	5551
271	2070	5542
272	2077	5533
273	2085	5524
274	2092	5517
275	2099	5508
276	2110	5509
277	2131	5535
278	2148	5552
279	2155	5543
280	2162	5533
281	2169	5523
282	2176	5513
283	2183	5503
284	2190	5495
285	2197	5486
286	2208	5485
287	2216	5478
288	2223	5471
289	2231	5464
290	2239	5456
291	2247	5449
292	2254	5440
293	2266	5442
294	2274	5435
295	2283	5430
296	2294	5431
297	2302	5424
298	2310	5417
299	2318	5410
300	2328	5407
301	2337	5402
302	2345	5395
303	2355	5391
304	2361	5381
305	2372	5380
306	2382	5378
307	2393	5377
308	2402	5372
309	2412	5368
310	2418	5359
311	2429	5357
312	2439	5353
313	2446	5344
314	2453	5336
315	2466	5339
316	2497	5381
317	2510	5384
318	2521	5382
319	2539	5395
320	2556	5406
321	2564	5399
322	2571	5389
323	2580	5383
324	2587	5373
325	2595	5366
326	2603	5357
327	2609	5346
328	2616	5336
329	2624	5328
330	2631	5318
331	2638	5309
332	2645	5299
333	2652	5289
334	2659	5279
335	2667	5270
336	2674	5260
337	2680	5250
338	2688	5241
339	2695	5232
340	2702	5222
341	2710	5214
342	2718	5207
343	2725	5196
344	2732	5186
345	2739	5177
346	2746	5167
347	2753	5158
348	2768	5163
349	2778	5160
350	2785	5150
351	2792	5139
352	2799	5131
353	2806	5121
354	2814	5112
355	2824	5109
356	2831	5099
357	2838	5089
358	2844	5079
359	2851	5069
360	2858	5060
361	2866	5051
362	2873	5043
363	2880	5032
364	2892	5031
365	2900	5024
366	2907	5015
367	2915	5006
368	2922	4997
369	2929	4988
370	2937	4980
371	2944	4970
372	2951	4961
373	2958	4951
374	2965	4942
375	2972	4932
376	2978	4922
377	2986	4913
378	2993	4904
379	2999	4894
380	3007	4885
381	3014	4876
382	3020	4866
383	3028	4857
384	3035	4848
385	3042	4839
386	3049	4830
387	3057	4823
388	3065	4814
389	3072	4805
390	3079	4796
391	3087	4788
392	3094	4779
393	3101	4770
394	3109	4762
395	3116	4752
396	3122	4743
397	3129	4733
398	3136	4724
399	3143	4715
400	3151	4707
401	3157	4697
402	3165	4689
403	3173	4682
404	3181	4673
405	3188	4664
406	3195	4656
407	3203	4647
408	3210	4639
409	3217	4630
410	3223	4620
411	3231	4611
412	3238	4602
413	3245	4593
414	3252	4585
415	3260	4577
416	3267	4568
417	3275	4560
418	3282	4552
419	3289	4543
420	3297	4534
421	3304	4525
422	3311	4517
423	3323	4514
424	3338	4516
425	3358	4524
426	3373	4526
427	3381	4518
428	3388	4510
429	3396	4501
430	3402	4492
431	3409	4483
432	3417	4475
433	3425	4466
434	3438	4466
435	3452	4465
436	3459	4456
437	3466	4448
438	3473	4439
439	3480	4430
440	3487	4420
441	3494	4411
442	3500	4401
443	3507	4392
444	3516	4385
445	3524	4377
446	3530	4367
447	3537	4359
448	3545	4350
449	3552	4341
450	3560	4333
451	3567	4325
452	3574	4316
453	3582	4308
454	3588	4298
455	3596	4290
456	3602	4280
457	3609	4271
458	3616	4262
459	3623	4253
460	3631	4245
461	3638	4237
462	3644	4227
463	3652	4218
464	3659	4210
465	3665	4200
466	3672	4192
467	3679	4183
468	3687	4174
469	3693	4165
470	3700	4156
471	3708	4148
472	3715	4139
473	3721	4130
474	3728	4121
475	3744	4121
476	3757	4119
477	3774	4121
478	3790	4122
479	3805	4122
480	3822	4124
481	3836	4122
482	3851	4122
483	3867	4122
484	3882	4122
485	3895	4120
486	3908	4116
487	3918	4111
488	3930	4107
489	3941	4102
490	3954	4099
491	3968	4097
492	3981	4094
493	3992	4089
494	4003	4084
495	4018	4082
496	4027	4076
497	4041	4073
498	4054	4070
499	4064	4064
500	4071	4055
501	4079	4046
502	4085	4037
503	4093	4028
